0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,LABEL,LABEL_equal_width_4
14709.2093,67.11027866,-764.9641099,832.8685163,391.4236335,-342.3624356,108.5986167,1685.2473,1280.763988,332.4236546,455.8110117,-803.1402987,118.2673897,433.1959112,-224.2439004,-817.235386,655.7930738,-405.3546005,144.9323689,1317.509739,-155.0928508,368.3974344,843.9953663,-893.1709681,1270.843299,1583.881346,520.7336253,53.50216772,-862.9613054,465.7743942,-547.5242818,-1387.709193,-713.0859375,-1359.015106,714.3882879,805.2237736,1438.994406,-442.3495546,374.2627708,-997.8167122,1688.241459,-350.7537448,1443.632983,-797.0013,1073.632856,1122.759764,740.2747234,716.4171516,-1352.441202,-531.9790543,588.3569847,-182.4457255,-1274.258168,-156.3224138,-455.4050094,539.2026406,208.7901098,-74.52458369,-456.8214768,69.40939782,-789.1780305,-1004.234277,-59.66001423,-184.3387346,-157.6068777,1503.517138,-581.1590421,-411.5044474,-1919.933468,-1081.866397,-426.751747,105.6871897,-1437.748317,212.1994687,67.21149082,-189.9589004,48.48903246,-184.1439258,311.947487,284.1180387,-341.2423409,-453.0193184,-1166.540361,240.1019331,311.3551027,503.5241268,-355.4203834,-590.1296334,-699.7195181,-40.55500258,656.5821483,502.3929537,-374.0981524,263.0630182,37.07327997,500.1593733,741.8498553,73.43445072,982.3731213,157.4959269,140.36405,-367.4092253,72.45717367,-924.0700149,386.2572021,-371.0662829,33.80681668,-84.50049426,-164.7019524,101.8918677,353.5679258,595.8809285,-81.9381521,53.6438507,-37.94969566,599.8816973,449.7818376,-434.3784016,-127.0926478,278.4792173,457.1052871,-492.6820683,-74.91415311,12.94392315,525.0352573,519.5170142,1035.198949,311.5869577,201.1689285,793.1448519,807.6894125,-103.1665023,533.6705927,57.81199958,-298.3401049,-99.76327493,-212.6545865,189.7376502,156.5815947,337.647204,-298.6420583,-215.8472615,203.3802695,125.1657576,-503.3530665,796.4865869,-642.7793053,156.2653301,216.6828298,-267.5389542,-313.8042746,111.0883049,723.5723822,-232.0007767,-636.0706177,23.39433945,952.2815202,-118.950751,469.471391,42.67153177,-416.8231433,-3.830579404,-232.1606699,-453.6599771,327.4263468,490.2451782,20.05892134,401.6815155,271.5250485,-408.6907717,-82.08462574,124.6227398,-79.4177466,198.6646744,175.9248389,-345.5899267,-153.722234,143.1692454,-225.5357625,-349.6553855,64.97838098,-663.7972123,-92.84346057,-764.5038448,-131.2448364,-510.0023695,-214.5169306,-1153.822884,-6.786841818,140.2533484,159.7171741,-421.8343862,159.7876406,447.5686725,173.4192099,-43.71500481,2,"(-2.4539999999999997, 864.25]"
12389.22093,568.0783848,1005.647652,292.0087634,1494.084299,513.6112929,-851.5480553,580.184166,-67.74114126,1294.393644,1020.202148,984.7924983,1286.04705,988.2798884,107.3139316,112.0507795,777.7268019,-303.1203918,-2101.30126,1139.543553,453.9432418,1488.137996,-150.2253748,-1274.324381,-24.88809104,609.3136145,-143.1954829,-612.0588497,-25.42001554,451.5860878,-210.2397548,413.1762724,-721.6133875,-509.0543394,-652.1069366,-867.9838158,659.8114427,719.4289795,-270.8159921,-747.2399908,1727.396211,-2044.857509,1795.065719,90.27358472,1924.281436,-48.42682737,437.9240396,192.9493044,-2063.388843,-1431.068167,-878.3622614,172.7427602,-235.6921527,-760.5568052,-119.1964966,-509.4444756,-419.943743,315.2757926,-1253.874892,-342.6720774,-279.4075836,823.3753072,-937.6679618,-1722.729313,-1221.362707,1090.624588,-272.9786108,0.46488249,-383.7716776,-1274.21646,797.4638932,664.5434495,1111.508406,375.6177584,1101.592345,335.8181362,-401.2033255,-343.7092981,93.30216891,30.8278972,741.2936909,-696.6712541,-303.7307049,39.25173684,-78.613075,-133.4989141,187.5494901,1218.888041,-410.4136464,-597.8049919,326.5356229,-258.7472566,199.8793433,-200.5507586,352.6294314,619.7438781,1553.26198,162.7610431,1288.007454,169.760201,290.0441787,1059.11592,-145.676896,-520.35003,133.6677478,149.1473841,-232.1576686,636.6240006,-233.7026569,-772.3879402,1033.686294,193.4771081,144.9605047,-651.2944322,752.5843479,193.3105853,682.1427539,106.7625697,-314.0536559,852.6123513,-29.45114567,-171.1288187,139.4101584,-375.8365549,279.1144598,-468.5117072,-9.295370655,-562.0848981,-813.6670049,-170.0331798,-165.8992162,485.2018891,700.2691361,225.510471,326.3582178,-63.61074811,514.7416682,-161.0049917,-93.9449521,-16.61209891,-401.0149265,216.6813454,-649.6442916,-371.6016785,-515.0052237,294.7262411,-1244.279735,-491.4233545,-264.1551015,-216.1314006,-547.5483946,-58.38820352,401.1293437,70.69940214,-121.6857385,-96.68143592,144.9032031,1013.013448,589.9470292,562.4278433,-223.9122418,-65.09086641,-58.90358057,189.8162715,-399.433946,-721.5924285,-7.270265535,-179.7238778,-59.07349113,69.7616152,-119.5446259,163.5350422,-21.35860611,-272.4957202,22.20892286,-188.9725739,195.6127438,-68.67053622,24.13668784,139.1359774,173.3190153,216.8281828,-85.12258754,-13.1945207,-40.49363758,-66.13708473,772.3924254,-410.4778399,-13.0014327,-185.9383456,124.1824568,-495.1762048,45.31874288,451.4826259,-76.42842924,-610.0388409,2,"(-2.4539999999999997, 864.25]"
15085.30233,191.2418089,-821.7504456,1489.935786,1059.948432,296.0648229,680.5600743,669.3850615,648.3293335,609.7971713,752.8710727,440.8647168,-131.2635466,-88.01053821,-1317.090463,-990.030548,2125.876484,405.1708015,-1237.765992,1772.026599,-22.58190036,1165.147443,143.5069983,-1517.654077,-134.4755031,572.6447169,353.2481165,70.42894948,-405.2078425,911.2933672,-128.3931065,405.2121093,-1073.507279,-23.16149086,-328.855088,-263.9554688,-140.9421731,-202.331749,-339.109372,-481.3592702,1051.333638,-1079.652426,274.0972956,-293.0487922,1487.930047,677.0262096,323.1504482,269.6915768,-2193.330344,-1171.49893,-980.5512529,-107.6789826,291.3415619,149.0696801,-464.4545123,367.1764351,-499.075275,-177.7755758,-138.7443997,-649.159543,-1012.61564,945.3053267,-450.8678048,-620.7212106,-930.2099965,773.5686146,-894.9083084,-254.9776478,-1562.209324,-584.2107561,-304.1749778,1994.228457,668.4977711,-815.2033876,-16.90562996,19.18132649,-650.1882381,-168.108106,-41.59241447,-350.796626,551.9388934,552.0866198,1007.344126,736.0573098,974.5490264,130.4848295,260.0295458,1077.443741,118.0295521,190.7305717,982.6860254,473.9051872,-367.166544,702.4659678,-565.3960106,629.43227,110.6457073,-438.8020726,759.7742168,104.5195814,-73.18759199,784.0581454,297.0904286,29.35874595,261.4913709,163.5910185,-56.00236541,296.1739685,216.1438826,-79.20420257,-264.2114848,-258.6404369,274.4777508,-32.36760727,873.076266,581.9252759,-180.5718664,47.61357654,-804.4307426,830.129892,27.72421056,-526.6527546,-615.8324558,-245.2222584,102.6729041,-304.2722621,169.7833629,-460.517913,-772.3827267,113.9968387,28.754487,-84.92531999,52.31508318,-265.1906438,-140.6717379,-198.1956241,-81.78135236,221.5548346,194.723614,18.25141073,-33.72038572,2.473763531,-707.2011746,-301.0121202,204.5883838,-280.1945319,-616.5476621,-26.28366013,166.2005373,667.0674733,70.0756244,-175.2262729,719.1403004,154.8827508,-648.2768107,-363.8089138,619.87456,383.3554533,76.23582407,-216.7049392,173.7379137,134.1149386,152.3670806,-12.39710808,-505.0792179,-169.0903728,55.13978384,-345.0991794,-92.64570423,-4.690328474,-14.22169742,-184.3678948,-53.66993484,135.9349955,-146.6487547,-260.2941148,92.8194898,-261.9686381,369.6072115,125.1681309,50.11595177,-286.6078378,260.3596529,-545.5163779,673.9760019,-113.9894309,149.9906553,-344.8335731,126.5463715,-348.4123443,366.3024525,-395.3674463,401.8289314,862.834784,164.5561048,-495.7783713,2,"(-2.4539999999999997, 864.25]"
14515.01163,900.0817933,887.6969561,1340.293924,850.9186849,981.3993288,89.50055838,1650.900444,799.0777725,1441.345976,715.408525,-324.880411,-1130.077895,559.8192762,398.4350834,550.84168,38.63422572,-1768.087921,-1684.369636,717.6602159,-92.97022347,335.0855163,-466.5432538,-1276.987264,496.2622026,275.5263225,-1184.608671,945.0866899,-584.9677732,-30.41734507,-234.2273959,-645.3212695,-1142.122995,-692.1082016,-820.5550569,-802.9792859,300.7863948,-28.58400853,1722.365484,573.2736404,2819.432806,-206.0090729,76.06682604,-1500.135252,2297.912086,527.2684264,-261.9393382,922.1044089,-27.3746093,-224.6136945,-109.9105689,751.8596072,-437.7904335,-185.0638395,-343.923193,1177.6623,-220.002781,930.5509504,7.204955674,-747.0143611,-457.6357345,120.230593,1146.345656,-640.7153084,-846.741704,-140.7260723,-647.8153444,-137.0206354,-1176.360827,-245.3631569,-408.5560119,744.3991312,202.2869239,-216.2354879,753.4619972,14.24777563,-385.6351148,-792.372174,335.1055121,195.6616231,-183.5418998,-411.9632201,-594.5906881,206.5197418,-334.2239164,155.1613597,-341.7096732,1720.264365,245.9065931,479.4224502,-217.7772422,-283.3733022,-69.0010619,909.9531592,839.9046687,255.2577553,-418.1847125,-289.8156173,-118.5649676,-652.5547326,9.255923332,353.6773488,586.6324573,27.49733146,288.7568218,301.3420043,-171.8803355,-431.2203789,-447.7060413,-869.6636472,185.1457385,201.7898048,-404.4247998,-519.8511037,-119.7785798,-1235.480587,-411.9631506,-244.6100472,605.481731,-239.6395434,440.0369409,-302.4039156,446.3562674,-109.1313591,-477.8234799,-642.6960267,470.9585972,354.8651063,507.6308223,256.0475426,813.846482,85.32858537,-6.193948957,19.10287748,-306.5245978,145.1122564,-245.9780018,148.9083368,-124.1246379,-103.6942437,-97.02290181,121.7844939,-411.0672239,-393.0102909,-266.4467128,209.433972,-58.21880483,518.2838746,-262.364154,-657.8252014,163.5170632,245.5083191,1.943594491,-433.0755616,-483.1821415,-298.7539106,-63.48636382,-105.9579175,122.3276767,369.987136,492.809609,367.079182,328.2302843,61.36169742,261.9219144,373.5037575,244.2719857,283.0528014,-225.8946891,-38.75799556,6.466729266,-16.37171076,-56.20895789,118.0898087,-39.12137738,-254.2671606,108.6326577,-339.2349998,61.41667012,128.5925135,436.610833,-27.86078423,53.44683242,76.29737718,843.4897035,-40.41381945,-688.8763208,51.49216129,529.9766562,21.92304539,14.5316539,-120.4775511,506.1817599,597.4587848,683.5463888,486.4989218,2,"(-2.4539999999999997, 864.25]"
14086.76744,738.6637343,955.663884,888.3298745,43.88562075,156.4796865,-1137.21238,1832.302659,-450.939128,315.4707382,1365.731467,-576.6970307,2581.23632,15.53098716,-188.1868777,-319.7903293,649.1583446,477.8340338,-39.86778803,-155.7619009,-1159.09616,507.7376913,-4.706457266,-9.335520037,752.2119801,-142.3663975,1312.599836,-945.6431732,-600.3604593,423.8566783,-943.3599782,-2550.747126,422.7525793,-350.5070296,912.4920609,-542.3899461,1244.981043,14.37459092,-506.6671572,43.10096472,-606.466859,756.2197084,703.8265705,750.6191778,264.5454799,78.72697395,917.8281767,-899.9573262,-1205.524637,-1064.095776,-1191.831587,-1137.857402,-438.6996226,54.28005202,278.148745,882.7105381,-275.4420522,-601.2557516,-149.7613813,608.4698517,-390.4788982,-284.8392678,-1781.543631,-996.2344961,-160.1262436,1465.463573,-63.56638321,-751.7941048,545.0895703,90.0113016,2612.134296,2330.293989,901.8144281,667.3312389,-273.4423543,-177.0953536,171.4401374,46.39919796,-110.9176348,-172.0291075,-947.3920069,103.0750819,550.2420833,-402.0720375,1207.281525,-534.0377664,125.133085,-204.7900591,-1085.67482,22.81523093,609.8131518,278.8571504,-431.2625437,286.9992628,163.0738943,492.7786533,214.2890786,-123.0493593,-225.014762,679.90129,560.1019101,392.8067442,-50.76447581,78.34370695,184.3657017,26.45831928,-86.10886518,-337.0283504,-198.0667539,45.58113116,-734.2774235,-217.8934736,315.8752484,-171.6907029,170.1986039,335.359746,450.3545903,-195.720979,-199.9632756,128.4580516,-225.2974352,5.392494592,-575.4452728,172.4163932,-697.5620808,505.8150594,-601.8577831,-1101.120103,-157.5100253,-523.1900013,636.8879301,49.47804006,-77.36229435,-21.17688943,7.137018227,122.7036809,-79.01007799,157.0058256,19.57809926,-18.81183237,14.20149195,-291.1284263,-228.2004646,450.1856474,-361.6898448,137.3793733,-457.2834224,-557.7721261,164.5060151,-1.434176831,-153.5629459,-79.81332462,554.3302386,160.5815853,-146.1728532,445.2908822,81.32227197,211.4684565,288.8729046,-98.86686654,19.39805249,-181.2344563,-119.5760601,-172.298189,79.94343389,345.7362185,144.1241483,5.011467706,-249.1096543,-171.3817422,22.57811868,-174.7955006,103.6646891,101.9569649,197.4121369,291.9169608,215.2579494,4.815050645,-239.3743475,-376.8694803,-514.8787452,-273.2515234,286.2858445,-27.75383575,317.6813071,100.9519139,28.19460835,-467.2388809,-227.2940341,460.3032138,-50.37109264,-371.3207553,340.1934463,242.7677722,103.7748738,-515.9838746,2,"(-2.4539999999999997, 864.25]"
15144.4186,1622.062297,-941.3662452,924.3162445,252.1086634,-551.0671,960.759928,-78.01338597,1259.969888,937.2857034,1690.113947,-708.2961501,173.5968104,876.2854248,162.8733264,-1004.731114,53.70428294,58.08744731,-434.4717794,1314.064652,614.0529234,1198.469479,902.3005254,-1007.774101,345.3189888,1197.676955,634.2988228,-1068.284009,218.0585456,570.8575695,-93.80197341,-1186.056266,-1645.757979,-436.6974188,-1686.649313,216.0034266,-293.6796945,-104.0175466,-112.8320547,-628.7172528,865.5995939,-330.0119045,1361.23431,27.0451346,1188.858447,62.3019858,30.46524932,259.8898931,-479.6763036,-1347.008666,-85.49750113,136.4465776,-31.36428853,-682.4885512,-1338.133737,368.8879145,-73.31848222,572.2856929,829.1129739,-1452.750275,-426.3991615,-590.5361451,-151.4241444,-612.347947,-747.4169012,275.6099883,-1220.842027,-272.5826693,-632.0750025,-100.945163,-636.0173745,735.9349762,889.5010488,-578.6789463,578.2678719,284.3583657,-172.1970131,104.2015077,33.15069622,-139.2676873,367.3483721,-97.99653456,-797.6013695,934.4698508,556.2278644,-569.2575837,-21.62951837,241.4529296,738.2801943,-117.641973,243.7118241,-255.024116,545.0768937,-38.63065424,-116.8735463,-413.2720629,790.7094737,376.691202,-161.142496,1369.049409,1193.416995,144.6452948,-307.0606601,-170.2368806,273.2098899,-326.0172232,338.7420153,-355.5707965,369.2616911,286.7622379,-655.0410314,279.5867424,-724.0620692,67.86190168,275.1584643,-103.7285454,621.1672866,419.2024587,-295.0888244,984.7647212,49.64694807,91.3520815,-140.839572,-265.5968944,-35.17619916,919.0646718,666.6848767,404.337279,-166.3869983,-199.6732501,147.659363,-322.392471,288.4255401,17.18113463,-71.36948302,269.3024328,364.512982,-234.1025341,409.2885125,-520.5620979,277.9552962,-67.46424682,-1136.812944,-279.2355404,-361.1341895,-52.12545012,80.89044648,-172.6412639,-302.1777217,-356.0135619,-804.1322916,-493.5779772,204.1308347,-38.75836918,112.9843762,-125.6680267,-10.25614732,257.1719841,338.7993682,-65.78646032,-631.0804544,-146.2707622,284.5576386,-71.85789662,183.0867342,-152.3712118,128.123735,-615.0315566,129.7078106,77.73134608,-135.6495806,300.9509897,60.60146235,240.0100348,5.836910873,18.06207402,-84.17886482,-358.6719916,451.6542104,-7.424541288,-100.1689374,298.1361785,-576.3994276,398.1441293,87.10504087,-73.75924543,206.750451,192.9239385,397.2441637,179.4704217,79.09043529,-82.01656278,-7.183068484,96.47580611,802.9413371,275.6471085,2,"(-2.4539999999999997, 864.25]"
13986.19767,578.4324002,-1100.6095,251.5885322,1232.30539,-895.4492809,319.4923226,1105.679593,907.0864655,-41.10378019,991.116747,-885.078349,307.7443677,692.7202046,-1119.734146,-696.0945436,1364.304281,-109.397828,262.6645541,229.7108387,-183.873798,1111.3638,1687.4306,-460.7130506,1274.265017,1616.691682,1642.74205,678.295273,374.903852,-140.8752717,-502.9171844,-427.9739903,78.91394533,-597.870942,-8.176862217,10.47337708,1707.028757,113.3370439,-859.7313303,-565.7832199,906.3108631,-1064.454771,311.1623258,156.6649675,634.7062751,-120.5461831,-196.8759621,132.4006747,-2205.694288,-1349.264049,-1001.446921,-271.3321733,-915.0177677,546.0754072,211.4152102,-249.5833021,307.7109816,-99.31235449,-648.4973073,279.7511885,-2298.096565,129.9962667,182.2371712,-1481.565015,-217.0425496,-140.8379739,-164.8000147,272.7409603,3.496435576,-887.6695001,676.4029332,1613.305147,330.1630676,-13.8151571,-223.8492399,-1020.452241,-410.6466625,351.2352516,535.8597433,-196.270929,80.35052264,-394.3585282,-851.5970095,373.3653321,384.9616309,-293.4809715,137.6288571,-207.0869722,572.97211,-51.78924243,1465.663045,-518.7077262,-473.6515328,-210.8260928,-624.183095,508.977466,-8.072948905,-531.692123,969.9681485,879.2198614,456.8779095,-208.2061789,-72.56114852,379.5193897,-310.2294955,152.2757354,-790.9439718,666.3309396,-636.5038684,27.35650109,192.6001461,-484.8576872,-612.7443444,799.1176875,-9.492537032,-88.23836943,-420.9611227,-899.2030344,-234.0205607,313.723442,-241.4490823,-148.4818119,17.29452897,571.5735107,979.7301033,486.4061864,1007.199461,691.224911,-444.3192065,234.8615455,277.5632451,81.48158125,15.17795453,-21.4633986,96.11797943,187.7516642,-118.5376933,17.96824479,-176.4928227,115.444189,-294.6890267,123.0259679,481.6399534,-263.4790882,743.7447255,264.1991093,-391.4792121,393.8145948,347.3779585,410.5985731,368.3869861,-345.619169,803.6643614,-341.2587754,43.85441976,11.20284052,503.3786865,-75.50679462,448.0316417,-143.2002104,-227.8070119,-590.1892221,271.5768212,-306.0978203,418.4551856,-73.93282537,164.6754366,-31.41902025,277.5157606,-81.02020077,-173.0791881,282.8534384,-234.008836,229.8688616,-214.2411327,-73.39519601,358.3057737,-32.68942062,107.9901666,-344.6411746,-98.78010659,-540.9871464,-44.85965775,-408.9065938,-486.7386112,-146.6528855,-472.1760203,-166.3644669,-442.932118,1031.949711,-159.9366006,-330.5820013,442.760983,306.4332233,424.4410434,50.12447573,2,"(-2.4539999999999997, 864.25]"
13897.52326,280.4926431,266.3011438,816.5869453,310.084537,-382.3241975,-78.95628458,2255.068104,1273.462286,-307.0990255,1529.379864,809.0584627,-196.9206347,927.1402224,-684.9541566,-207.6015269,561.2333681,-665.1377758,-1043.172485,1424.979962,758.3916014,603.2806867,121.0581848,-1441.304777,-844.2910559,1927.370425,357.6276615,855.4534189,50.17803605,-738.6442154,-359.6679944,-546.639137,-1411.866804,-745.5275887,65.25994125,-646.6953881,3.50799389,266.6166873,53.51660014,-494.6634162,2543.050091,-1048.584821,981.3302137,-785.0539019,2266.900191,917.0279696,124.2097892,1172.991608,-729.9080825,-1560.15576,-834.8917122,-326.1008585,-944.5979587,-879.8678788,-348.333923,11.39919791,57.03012528,1291.788952,-360.6525495,-154.4780607,178.9998297,-390.3520639,-491.0083038,-1692.899422,-989.1038671,76.77675315,-1098.434427,-150.0079776,-1029.836242,-102.5115271,-753.6488364,175.955115,143.0526979,1058.748344,848.6329453,37.07032092,-268.6957445,-442.3146744,301.5574093,-325.161212,-100.6298428,373.6998,-1048.861083,-533.4456952,447.0298149,999.2858999,855.9945874,172.5064737,392.536307,-194.2994758,734.2151318,-543.0704723,71.22258232,119.406406,120.7278874,397.3301742,-184.7185828,440.4594667,1352.597507,155.1114727,369.142162,331.52803,471.7094786,-171.8577655,-158.4650445,186.06605,33.78620192,156.6268323,-27.44514774,-67.29580502,-80.23351403,371.1548922,57.75488529,-647.9540458,436.2330479,355.782295,683.9691167,-779.6481188,79.86347119,505.2490313,321.9577758,229.3081071,357.0316314,-292.363989,467.3751658,484.6106589,515.5427402,-282.5594505,-1.118569314,-316.2161758,31.45254491,115.4442441,308.7393436,235.1046777,21.51672641,305.6484084,66.774521,-173.1100516,-53.66858528,-86.77419393,-358.7257096,-97.04317815,-251.899925,-426.2085805,-1170.628586,220.1380323,-1147.227607,11.64071045,-428.5166615,215.3598308,-924.4731437,-40.21962047,239.5214433,-361.5338709,-62.63981648,-237.3397563,-107.6827037,263.7925067,359.3516045,-431.3202079,136.3296519,46.41769977,-90.39612696,-292.0654686,168.6581397,240.0243442,-286.4037031,-119.8538124,-140.571929,65.89772598,73.64129104,194.4060686,-44.81589908,-14.76867693,59.42338142,6.671347354,-67.60777772,-350.3459906,222.5064004,-149.9339269,85.69423936,-370.1992276,-6.024566434,-56.23271825,524.345099,69.89850941,192.5974359,356.9375666,-171.6518463,809.2902891,448.8201165,-326.6712671,484.24517,-159.0504864,832.3372376,-138.0622335,2,"(-2.4539999999999997, 864.25]"
15562.32558,-588.5943312,-551.3694619,140.0294025,-806.8374383,965.1527903,-118.2716485,1183.508804,-543.643619,-1020.841338,-443.9875353,97.43936406,2492.223154,-323.8557893,-735.2407165,-625.0959375,1159.014959,2032.693683,152.3557386,1141.900776,27.14792918,653.866928,-8.435633454,535.1682142,-312.3649962,-1152.76231,342.2216013,-1349.520693,-736.4605366,388.5852915,669.1809385,1001.31184,-423.9409327,-13.5929078,-301.0235436,-615.0548162,491.3914354,556.0807731,-314.3823258,398.4239013,1498.092463,-113.9408629,754.5603689,1067.357559,1404.177385,589.7826479,623.9440835,1454.826867,-1276.74002,-1303.231571,-232.7031621,522.1282136,183.7929672,1.053749853,222.5912651,297.0961323,176.4007537,-46.04046856,-181.2118069,-224.109319,-231.0260162,-543.2881934,-705.5013422,-644.1620841,-535.3535898,926.7844781,-120.1485317,-432.3122541,-387.5604064,-885.4176404,606.2347082,-873.4774795,-172.7149716,174.1869463,-467.2344506,-86.8530334,-249.6043801,25.87092329,475.3222269,214.9366817,-489.4932318,439.0137326,589.3524033,-477.913151,-927.3387488,-809.0360044,-901.7556506,-658.3267351,-515.5862952,571.0541106,522.1224015,-265.984767,-114.1883119,-725.397821,627.0548928,-1303.759533,254.8092161,15.54498449,-481.0837492,-653.6495411,-754.3816079,-473.548623,-126.6306437,159.582738,245.4754802,40.064081,-182.1965808,-347.3422156,-129.7709075,-71.85792719,139.6305376,-67.06206125,310.1222414,431.3129632,420.6165351,311.1686888,187.9555955,31.89168289,115.9152224,636.2883853,793.5905018,-776.2432972,242.4799159,-139.4049355,992.9989709,678.4049341,-310.0486883,171.2465979,484.6946813,211.5652917,-27.09498517,-144.8683336,-174.1393225,180.3147999,203.6628738,169.0912087,18.66160727,-261.1695113,-532.0965113,-75.90512802,127.2406304,-193.4362229,43.02759766,182.8364043,86.439495,591.8606946,496.2354475,-136.8915866,-1137.289032,-553.9467445,-308.3651304,-147.0475698,828.5213731,199.1006088,-562.7086206,-950.0024376,-280.2678486,276.7512416,-234.1321883,190.2519333,501.0002803,660.6721003,167.5352547,-311.8988937,327.7084814,291.286,-14.07915009,-24.82084256,51.02026547,281.4099859,-274.3270555,223.3446205,98.43692958,-57.19338313,93.49346272,-87.53756529,-119.8699514,9.342832644,434.7399924,507.7800624,53.21314661,-149.743186,-428.3430127,416.3008752,465.6577864,141.1505819,205.4659004,-272.4535237,-104.5675316,443.6458531,-127.2349168,-204.8262798,-668.2122467,844.6437056,92.96694931,749.8868197,2,"(-2.4539999999999997, 864.25]"
12575.24419,2120.043113,-224.7243631,1166.415807,818.195089,222.5463527,-238.9080354,845.8791756,538.9889465,-287.7928117,1944.31323,616.6951689,908.8111552,1929.247918,-631.5740302,-499.0870646,-196.2380247,-366.2310746,-1296.522875,1057.917812,334.3538038,2017.514475,-350.3997423,-2048.496037,26.7378792,685.5346264,851.1199033,-952.7436483,1086.649454,488.1083806,-751.290143,-254.1116698,-643.040332,-546.9728413,-759.2851,-679.4964584,577.0057799,576.7849413,-745.3803885,-431.5367632,1783.842259,-2146.891777,1543.779464,-219.7580719,1933.913673,-217.1253686,-772.5335478,-547.0666951,-720.694468,-1586.109129,-881.6091619,35.04108108,-234.2796572,-694.543556,373.7357054,-341.5461177,-715.365319,217.933024,-657.4606945,13.2278235,105.590532,857.1989678,-1757.919366,-1559.587773,-811.6246914,935.5706998,-15.89826822,-229.44526,204.6266971,897.2553907,959.682076,1470.629603,1455.665418,655.1813742,535.7167752,80.09211355,-25.10548984,262.5864088,-133.111086,-274.3220921,556.6196411,-91.2734697,-400.6041243,109.316415,-658.0746748,432.4924026,542.1300397,671.7857654,412.407437,-81.73044518,176.4210042,15.29863633,-303.3392363,-491.3642618,22.00477042,-57.60774225,1029.264109,-178.1390121,940.1031397,713.7840498,413.3748227,245.162973,-57.98690034,31.59495326,58.75023893,-47.33897216,107.1075509,438.5039799,-10.93975469,-420.6125382,603.1465487,-510.5702454,-254.499278,-702.6535333,-517.1196259,331.0117644,-312.0645624,241.9373363,-446.388522,1262.25821,-619.7036031,-86.61758099,-287.7146148,635.1327523,41.44685475,-205.7145701,-57.59349237,-479.9745236,-1350.352453,-626.1821691,-56.75356042,89.21898079,-111.5989914,-10.18417514,12.76619955,-94.7995461,1.846362554,-274.2156507,2.386151661,-94.47321131,-409.3154845,162.0970358,-356.1227171,-97.59727575,392.7205225,-18.25877659,-934.3854667,247.9565505,-101.9339258,239.4677761,-1061.177046,-120.4918392,404.2084094,-283.8605103,217.3479968,481.2212207,782.7776755,540.6432301,276.4339661,130.8333157,23.95001212,4.649733043,247.3144593,1.233618998,-347.2004404,-128.9811062,54.2782427,-22.43585361,192.2885557,-60.46101156,-307.4275984,223.1256819,117.5275117,-47.16708658,168.1705355,-4.582928137,13.54087976,119.3256786,200.627314,319.0264847,252.1985843,-137.3393315,574.88566,-586.3482235,-220.0624812,-393.6875219,632.2467619,-322.6353679,21.12207436,238.1279125,-263.8078888,51.37995356,-16.85854846,-37.02569601,-566.4732932,-406.0532289,2,"(-2.4539999999999997, 864.25]"
